,title,type,release_year,rating,runtime,description,genres,cast,director,country,imdb_link,date_added
586,Toy Boy,tvshow,2019,TV-MA,1 Season,"After seven years in a Málaga prison, a male stripper is released pending retrial and sets out to prove his lover framed him for her husband's murder.","['Crime TV Shows', 'International TV Shows', 'Spanish-Language TV Shows']","['Jesús Mosquera', 'Cristina Castaño', 'María Pedraza', 'José de la Torre', 'Carlo Costanzia', 'Raudel Raúl Martiato', 'Juanjo Almeida', 'José Manuel Seda', 'Álex Gadea', 'Javier Mora', 'Pedro Casablanc', 'Elisa Matilla', 'María Pujalte', 'Adelfa Calvo']",[],['Spain'],['https://www.imdb.com/title/tt8693266/?ref_=plg_rt_1'],"Added to Netflix:February 28, 2020"
587,Trailer Park Boys,tvshow,2018,TV-MA,12 Seasons,Follow the booze-fueled misadventures of three longtime pals and petty serial criminals who run scams from their Nova Scotia trailer park.,"['Classic & Cult TV', 'Crime TV Shows', 'International TV Shows']","['Mike Smith', 'John Paul Tremblay', 'Robb Wells', 'John Dunsworth', 'Patrick Roach', 'Cory Bowles', 'Lucy Decoutere', 'Barrie Dunn', 'Sarah Dunsworth', 'Jeanna Harrison', 'Michael Jackson', 'Garry James', 'Tyrone Parsons', 'Shelley Thompson', 'Jonathan Torrens']",[],['Canada'],['https://www.imdb.com/title/tt0290988/?ref_=plg_rt_1'],"New Season Added:March 30, 2018"
588,Trailer Park Boys: Out of the Park: Europe,tvshow,2016,TV-MA,1 Season,"The Trailer Park Boys are thrilled to get a free trip to Europe, until they arrive and learn about their corporate sponsor's unusual requirements.","['International TV Shows', 'TV Comedies']","['Mike Smith', 'John Paul Tremblay', 'Robb Wells']",[],['Canada'],['https://www.imdb.com/title/tt5937754/?ref_=plg_rt_1'],"Added to Netflix:October 28, 2016"
589,Trailer Park Boys: Out of the Park: USA,tvshow,2017,TV-MA,1 Season,"The boys are back on the loose as Bubbles, Julian and Ricky head south of the Canadian border for some outrageous American adventures.","['International TV Shows', 'TV Comedies']","['John Paul Tremblay', 'Robb Wells', 'Mike Smith', 'Tom Mayhue', 'Alex Lifeson', 'Sebastian Bach', 'Tommy Chong', 'Dennis Rodman', 'Tony Hawk', 'Verne Troyer', 'Tom Green', 'Riley Hawk']",[],['Canada'],['https://www.imdb.com/title/tt5937754/?ref_=plg_rt_1'],"Added to Netflix:November 24, 2017"
590,Traitors,tvshow,2019,TV-MA,1 Season,"As World War II ends, a young English woman agrees to help an enigmatic American agent root out Russian infiltration of the British government.","['British TV Shows', 'International TV Shows', 'TV Dramas']","['Emma Appleton', 'Michael Stuhlbarg', 'Luke Treadaway', 'Keeley Hawes', 'Brandon P. Bell', 'Matt Lauria', 'Jamie Blackley', 'David Hargreaves', 'Sam Hoare', 'Simon Kunz', 'Greg McHugh', 'Stephen Campbell Moore', 'Cara Horgan']",[],['United Kingdom'],['https://www.imdb.com/title/tt7371896/?ref_=plg_rt_1'],"Added to Netflix:March 29, 2019"
591,Travelers,tvshow,2018,TV-MA,3 Seasons,"A federal agent tracks four people who suddenly seem to possess entirely new personalities, leading to a startling discovery about humanity's future.","['Crime TV Shows', 'International TV Shows', 'TV Dramas']","['Eric McCormack', 'MacKenzie Porter', 'Nesta Cooper', 'Jared Paul Abrahamson', 'Reilly Dolman', 'Patrick Gilmore']",[],"['Canada', 'United States']",['https://www.imdb.com/title/tt5651844/?ref_=plg_rt_1'],"New Season Added:December 14, 2018"
592,Treehouse Detectives,tvshow,2018,TV-Y,2 Seasons,"When their animal friends need help, brother-and-sister team Toby and Teri use the clues and follow the facts to solve mysteries in their own backyard.","[""Kids' TV"", 'TV Thrillers']","['Brody Allen', 'Jenna Davis', 'Ryan Bartley', 'Philece Sampler', 'Leigh Kelly', 'Abby Trott']",[],"['South Korea', 'United States']",['https://www.imdb.com/title/tt8591984/?ref_=plg_rt_1'],"New Season Added:November 9, 2018"
593,Triad Princess,tvshow,2019,TV-MA,1 Season,"After jostling her way into a gig as a celebrity bodyguard, the boisterous daughter of a powerful triad boss shakes up a TV star's life and finds love.","['Crime TV Shows', 'International TV Shows', 'Romantic TV Shows']","['Eugenie Liu', 'Jasper Liu', 'Cecilia Choi', 'Tien Hsin', 'Michael JQ Huang', 'Chang Zhang-xing', 'Hung Yan-siang', 'Tsao Yu-ning', 'Chang Shu-wei', 'Lee Lee-zen']",[],[''],['https://www.imdb.com/title/tt9314996/?ref_=plg_rt_1'],"Added to Netflix:December 6, 2019"
594,Trigger Warning with Killer Mike,tvshow,2019,TV-MA,1 Season,"In this funny and provocative series, rapper and activist Killer Mike puts his revolutionary ideas about achieving social change into action.","['Docuseries', 'Stand-Up Comedy & Talk Shows']",['Killer Mike'],[],[''],['https://www.imdb.com/title/tt9426194/?ref_=plg_rt_1'],"Added to Netflix:January 18, 2019"
595,Trinkets,tvshow,2019,TV-MA,1 Season,A grieving teen finds an unexpected connection with two classmates at her new high school after they all land in the same Shoplifters Anonymous group.,"['TV Dramas', 'Teen TV Shows']","['Brianna Hildebrand', 'Kiana Madeira', 'Quintessa Swindell', 'Brandon Butler', 'Odiseas Georgiadis', 'Henry Zaga', 'Larry Sullivan', 'Larisa Oleynik']",[],['United States'],['https://www.imdb.com/title/tt9134194/?ref_=plg_rt_1'],"Added to Netflix:June 14, 2019"
596,Trollhunters,tvshow,2018,TV-Y7,3 Seasons,"After uncovering a mysterious amulet, an average teen assumes an unlikely destiny and sets out to save two worlds. Created by Guillermo del Toro.","[""Kids' TV"", 'TV Action & Adventure', 'TV Sci-Fi & Fantasy']","['Kelsey Grammer', 'Anton Yelchin', 'Charlie Saxton', 'Lexi Medrano', 'Fred Tatasciore', 'Clancy Brown', 'Mark Hamill', 'Ron Perlman', 'Steven Yeun', 'Amy Landecker', 'Jonathan Hyde', 'Anjelica Huston', 'Lena Headey', 'David Bradley', 'Tom Kenny', 'Laraine Newman', 'Grey Griffin', 'James Purefoy']",[],"['United States', 'Mexico']",['https://www.imdb.com/title/tt1734135/?ref_=plg_rt_1'],"New Season Added:May 25, 2018"
597,Trolls: The Beat Goes On!,tvshow,2019,TV-Y7,8 Seasons,"As Queen Poppy welcomes a new time of peace in Troll Village with parties, sports and holiday celebrations, Branch tries to be more fun-loving.","[""Kids' TV"", 'TV Comedies']","['Amanda Leighton', 'Skylar Astin', 'Ron Funches', 'David Fynn', 'David Koechner', 'David Kaye', 'Sean T. Krishnan', 'Sam Lerner', 'Patrick Pinney', 'Kevin Michael Richardson', 'Kari Wahlgren', 'Fryda Wolff']",[],['United States'],['https://www.imdb.com/title/tt7539608/?ref_=plg_rt_1'],"New Season Added:November 22, 2019"
598,Troy,tvshow,2018,TV-MA,1 Season,"Searching for the woman promised to him by Aphrodite, herdsman Paris learns his true identity and falls for Helen of Sparta, igniting the Trojan War.","['British TV Shows', 'International TV Shows', 'Romantic TV Shows']","['Louis Hunter', 'Bella Dayne', ""Frances O'Connor"", 'David Threlfall', 'Chloe Pirrie', 'Tom Weston-Jones', 'Alfred Enoch', 'Jonas Armstrong']",[],"['United Kingdom', 'South Africa', 'Australia', 'United States']",['https://www.imdb.com/title/tt5103758/?ref_=plg_rt_1'],"Added to Netflix:April 6, 2018"
599,True and the Rainbow Kingdom,tvshow,2019,TV-Y,3 Seasons,"When something's wrong in the Rainbow Kingdom, bighearted guardian True and her best friend, Bartleby, are there to grant wishes and save the day.","[""Kids' TV""]","['Michela Luci', 'Jamie Watson', 'Anna Claire Bartlam', 'Dante Zee', 'Eric Peterson']",[],"['United States', 'Canada']",['https://www.imdb.com/title/tt5607658/?ref_=plg_rt_1'],"New Season Added:August 30, 2019"
600,True Tunes,tvshow,2019,TV-Y,1 Season,"True and her friends are dropping sweet, silly beats with freshly modern music videos set to the sounds of classic nursery rhyme songs.","[""Kids' TV""]","['Michela Luci', 'Jamie Watson', 'Eric Peterson', 'Anna Claire Bartlam', 'Nicolas Aqui', 'Cory Doran', 'Julie Lemieux']",[],[],['https://www.imdb.com/title/tt10522374/?ref_=plg_rt_1'],"Added to Netflix:July 12, 2019"
601,True: Magical Friends,tvshow,2018,TV-Y,1 Season,The power of friendship can solve any problem – and the Rainbow Kingdom's got plenty to go around. Cue Bartleby and True for the rescue!,"[""Kids' TV""]","['Michela Luci', 'Jamie Watson', 'Anna Claire Bartlam', 'Dante Zee', 'Eric Peterson']",[],[],[],"Added to Netflix:June 15, 2018"
602,True: Wonderful Wishes,tvshow,2018,TV-Y,1 Season,Do-gooding True and Bartleby will go anywhere to make wishes come true – from the bottom of the Living Sea to the tip of Mount Tippy Tippy Top!,"[""Kids' TV""]","['Michela Luci', 'Jamie Watson', 'Anna Claire Bartlam', 'Dante Zee', 'Eric Peterson']",[],[],[],"Added to Netflix:June 15, 2018"
603,Trump: An American Dream,tvshow,2018,TV-14,1 Season,"Friends, associates and critics reveal the truly American story of Donald Trump, the brash businessman who defied the odds to become U.S. president.",['Docuseries'],['Donald Trump'],[],['United Kingdom'],['https://www.imdb.com/title/tt7596008/?ref_=plg_rt_1'],"Added to Netflix:March 30, 2018"
604,Tuca & Bertie,tvshow,2019,TV-MA,1 Season,Free-spirited toucan Tuca and self-doubting song thrush Bertie are best friends – and birds – who guide each other through life's ups and downs.,['TV Comedies'],"['Tiffany Haddish', 'Ali Wong', 'Steven Yeun', 'Nicole Byer', 'Richard E. Grant', 'Reggie Watts']",[],['United States'],['https://www.imdb.com/title/tt8036272/?ref_=plg_rt_1'],"Added to Netflix:May 3, 2019"
605,Turbo FAST,tvshow,2016,TV-Y7,3 Seasons,"Join Turbo and his posse, the Fast Action Stunt Team. Filled with comedy, action and fun, this series amps it up to the extreme.","[""Kids' TV""]","['Reid Scott', 'John Eric Bentley', 'Amir Talai', 'Phil LaMarr', 'Grey DeLisle', 'Michael Patrick Bell', 'Eric Bauza']",[],['United States'],['https://www.imdb.com/title/tt3010520/?ref_=plg_rt_1'],"New Season Added:February 5, 2016"
606,Turn Up Charlie,tvshow,2019,TV-MA,1 Season,A down-and-out DJ plots to rebuild his music career while working as a nanny for his famous best friend's wild 11-year-old daughter.,"['British TV Shows', 'International TV Shows', 'TV Comedies']","['Idris Elba', 'Piper Perabo', 'JJ Feild', 'Frankie Hervey', 'Guz Khan']",[],['United Kingdom'],['https://www.imdb.com/title/tt8304498/?ref_=plg_rt_1'],"Added to Netflix:March 15, 2019"
607,Twelve Forever,tvshow,2019,TV-PG,1 Season,Reggie's wild imagination unlocks a weird and wonderful world where she can be herself – and escape the pressures of growing up.,"[""Kids' TV""]","['Kelsy Abbott', 'Antony Del Rio', 'Jaylen Barron', 'Matt Berry', 'Bridget Everett', 'Brandon Wardell', 'Steve Agee', 'Spencer Rothbell', 'Nick Sumida', 'Ashley Boettcher', 'Wade Randolph']",[],['United States'],['https://www.imdb.com/title/tt8009622/?ref_=plg_rt_1'],"Added to Netflix:July 29, 2019"
608,Twice Upon A Time,tvshow,2019,TV-MA,1 Season,"Months after a crushing breakup, a man receives a mysterious package that opens a portal to the past – and gives him a chance to win back his ex.","['International TV Shows', 'Romantic TV Shows', 'TV Dramas']","['Gaspard Ulliel', 'Freya Mavor']",[],['France'],['https://www.imdb.com/title/tt7943036/?ref_=plg_rt_1'],"Added to Netflix:December 19, 2019"
609,Typewriter,tvshow,2019,TV-MA,1 Season,"Three young friends in Goa plan to search an old villa for ghosts, but when a new family moves in, the home’s buried past resurfaces in chilling ways.","['International TV Shows', 'TV Horror', 'TV Mysteries']","['Aarna Sharma', 'Aaryansh Malviya', 'Mikail Gandhi', 'Palash Kamble', 'Jishu Sengupta', 'Palomi Ghosh', 'Purab Kohli', 'Sameer Kochhar', 'Sara Gesawat']",[],['India'],['https://www.imdb.com/title/tt9310372/?ref_=plg_rt_1'],"Added to Netflix:July 19, 2019"
610,Ultimate Beastmaster,tvshow,2018,TV-PG,3 Seasons,"In this intense obstacle course series, elite athletes from the U.S. and other countries compete for cash prizes, individual glory and national pride.",['Reality TV'],"['Tiki Barber', 'Chris Distefano', 'Francesco Facchinetti', 'Bianca Balti', 'Vidyut Jammwal', 'Sarah-Jane Dias', 'BIn Gu', 'Qinyi Du', 'Paula Vázquez', 'Saúl Craviotto', 'Gilles Marini', 'Sandy Heribert', 'Terry Crews', 'Charissa Thompson', 'Yuji Kondo', 'Sayaka Akimoto', 'Luke Mockridge', 'Hans Sarpei', 'Kyung-seok Seo', 'Kyeong-rim Park', 'Luis Ernesto Franco', 'Inés Sainz', 'Rafinha Bastos', 'Anderson Silva', 'Sylvester Stallone']",[],"['United States', 'Brazil', 'South Korea', 'Mexico', 'Japan', 'Germany']",['https://www.imdb.com/title/tt5607970/?ref_=plg_rt_1'],"New Season Added:August 31, 2018"
