,title,similarity,originals,genres,year
84,country strong,0.7992651462554932,0,"drama,romance,musical",2010
85,manhattan romance,0.7986147403717041,0,"comedy,romance,drama",2015
86,"pop, lock 'n roll",0.7965953350067139,0,"musical,drama,romance",2017
87,love off the cuff,0.7955067157745361,0,"romance,comedy",2017
88,otherhood,1.000000238418579,1,comedy,2019
89,dream house,0.6855231523513794,0,"thriller,drama,mystery",2011
90,valentine's day,0.6843062043190002,0,"comedy,romance",2010
91,snow day,0.6840826272964478,0,"children,comedy,action-and-adventure,family",2000
92,back to school,0.6705430746078491,1,comedy,2019
93,y tu mamá también,0.6697675585746765,0,"action-and-adventure,lgbtq,comedy,drama,romance",2001
94,zindagi na milegi dobara,0.6665433645248413,0,"action-and-adventure,comedy,drama,travel,romance",2011
95,it's for your own good,0.6647970080375671,0,comedy,2017
96,the bros,0.6634595394134521,0,comedy,2017
97,shorts,0.6629533767700195,0,"action-and-adventure,comedy,fantasy,family",2009
98,the meyerowitz stories (new and selected),0.660398006439209,1,"comedy,drama",2017
99,fyre: the greatest party that never happened,0.9999999403953552,1,documentary,2019
100,theatre of life,0.6838042140007019,0,"documentary,food",2016
101,jim gaffigan: obsessed,0.6822324991226196,0,"comedy,stand-up-and-talk,documentary",2014
102,woodstock: three days that defined a generation,0.6719017028808594,0,"musical,documentary",2019
103,willy wonka & the chocolate factory,0.670060932636261,0,"family,fantasy,musical,comedy",1971
104,cezanne and i,0.668498158454895,0,"biography,drama,animation,family",2016
105,my entire high school sinking into the sea,0.6682538986206055,0,"animation,comedy,drama",2016
106,maddman: the steve madden story,0.6671972274780273,0,documentary,2018
107,freej al taibeen,0.665727972984314,0,comedy,2018
108,all about asado,0.6652495265007019,0,documentary,2016
109,kevin james: sweat the small stuff,0.6635063886642456,0,"documentary,comedy",2001
