,title,type,release_year,rating,runtime,description,genres,cast,director,country,imdb_link,date_added
3347,The Runner,movie,2015,R,90 min,A New Orleans politician finds his idealistic plans for rebuilding after a toxic oil spill unraveling thanks to a sex scandal.,"Dramas,Independent Movies","Nicolas Cage,Sarah Paulson,Connie Nielsen,Wendell Pierce,Bryan Batt,Peter Fonda,Dana Gourrier",Austin Stark,United States,https://www.imdb.com/title/tt3687398/?ref_=plg_rt_1,"Added to Netflix:September 8, 2017"
3348,The Russian Revolution,movie,2017,TV-PG,47 min,"Starting in 1881, this film describes how the personal battle between the royal Romanovs and Lenin's Ulyanov family led to the Russian Revolution.",Documentaries,Jonathan Kydd,Cal Seville,United Kingdom,https://www.imdb.com/title/tt7094352/?ref_=plg_rt_1,"Added to Netflix:June 15, 2017"
3349,The Ruthless,movie,2019,TV-MA,111 min,A rebellious teen grows up to become one of Milan's most ambitious criminals during the golden years of the 'ndrangheta Mafia in the 1980s.,"Dramas,International Movies","Riccardo Scamarcio,Sara Serraiocco,Alessio Praticò,Alessandro Tedeschi,Marie-Ange Casta",Renato De Maria,"Italy,France",https://www.imdb.com/title/tt9239888/?ref_=plg_rt_1,"Added to Netflix:April 19, 2019"
3350,The Ryan White Story,movie,1989,TV-PG,94 min,"After contracting HIV from a tainted blood treatment, teenaged hemophiliac Ryan White is forced to fight for his right to attend public school.",Dramas,"Judith Light,Lukas Haas,Michael Bowen,Nikki Cox,George Dzundza,Valerie Landsburg,Sarah Jessica Parker,Mitchell Ryan",John Herzfeld,United States,https://www.imdb.com/title/tt0098237/?ref_=plg_rt_1,"Added to Netflix:October 1, 2011"
3351,The Saint,movie,2017,TV-14,92 min,"Master thief Simon Templar – also known as the Saint – is hired by a wealthy banker to find his kidnapped daughter, but not all is as it seems.",Action & Adventure,"Adam Rayner,Eliza Dushku,Ian Ogilvy,James Remar,Roger Moore,Enrique Murciano,Thomas Kretschmann,Beatrice Rosen,Greg Grunberg,Yani Gellman",Ernie Barbarash,United States,https://www.imdb.com/title/tt2569088/?ref_=plg_rt_1,"Added to Netflix:August 10, 2017"
3352,The Saint,movie,1997,PG-13,116 min,"Hired by a Russian politician to steal the formula for cold fusion, master thief Simon Templar falls for the scientist who has unlocked the secret.","Action & Adventure,Romantic Movies","Val Kilmer,Elisabeth Shue,Rade Serbedzija,Valeriy Nikolaev,Henry Goodman,Alun Armstrong,Michael Byrne,Evgeniy Lazarev,Irina Apeksimova,Lev Prygunov",Phillip Noyce,United States,https://www.imdb.com/title/tt0120053/?ref_=plg_rt_1,"Added to Netflix:September 1, 2019"
3353,The Sapphires,movie,2012,PG-13,99 min,"Sisters Gail, Cynthia and Julie have talent, but their career takes off when promoter Dave convinces them to tour for U.S. troops in Vietnam.","Comedies,Dramas,Independent Movies","Chris O'Dowd,Deborah Mailman,Jessica Mauboy,Shari Sebbens,Miranda Tapsell,Tory Kittles,Eka Darville,Tammy Anderson,Lynette Narkle,Kylie Belling",Wayne Blair,Australia,https://www.imdb.com/title/tt1673697/?ref_=plg_rt_1,"Added to Netflix:April 26, 2019"
3354,The School of Mischief ,movie,1973,TV-14,253 min,A high school teacher volunteers to transform five notorious misfits into model students — and has unintended results.,"Comedies,Dramas,International Movies","Suhair El-Babili,Adel Emam,Saeed Saleh,Younes Shalabi,Hadi El-Gayyar,Ahmad Zaki,Hassan Moustafa",Houssam El-Din Mustafa,Egypt,https://www.imdb.com/title/tt1773561/?ref_=plg_rt_1,"Added to Netflix:May 21, 2020"
3355,The Sea of Trees,movie,2015,PG-13,111 min,"A brooding American unable to cope with personal crisis travels to ""suicide forest"" near Mount Fuji, where he meets a fellow lost wanderer.",Dramas,"Matthew McConaughey,Naomi Watts,Ken Watanabe,Katie Aselton,Jordan Gavaris",Gus Van Sant,United States,https://www.imdb.com/title/tt3450900/?ref_=plg_rt_1,"Added to Netflix:November 8, 2018"
3356,The Search for Life in Space,movie,2016,TV-G,32 min,"To determine whether we're alone in the universe, astrobiologists look to Jupiter, Mars and, closer to home, extreme environments on Earth.",Documentaries,,Stephen Amezdroz,United States,https://www.imdb.com/title/tt7521400/?ref_=plg_rt_1,"Added to Netflix:April 1, 2018"
3357,The Secret,movie,2018,TV-14,98 min,"Learning that her father has married a woman her own age, Kanaya leaves home, only to get into an accident that lands her in a haunted hospital.","Horror Movies,International Movies","Nagita Slavina,Raffi Ahmad,Marshanda,Roy Marten,Kanaya Gleadys,Kartika Putri,Tyas Mirasih,Wika Salim","Raffi Ahmad,Arie Azis",,,"Added to Netflix:September 15, 2018"
3358,The Secret,movie,2006,TV-14,91 min,"An assembly of writers, philosophers and scientists share The Secret, which reputedly brought success to Plato, da Vinci, Einstein and other greats.","Documentaries,Faith & Spirituality",,Drew Heriot,"Australia,United States",https://www.imdb.com/title/tt0846789/?ref_=plg_rt_1,"Added to Netflix:December 7, 2017"
3359,The Secret Life of Pets 2,movie,2019,PG,86 min,"On a farm outside New York, Max aims to boost his confidence while in the city, Snowball attempts to rescue a tiger cub and Gidget pretends to be a cat.","Children & Family Movies,Comedies","Patton Oswalt,Kevin Hart,Tiffany Haddish,Jenny Slate,Eric Stonestreet,Harrison Ford,Dana Carvey,Nick Kroll,Lake Bell,Ellie Kemper,Bobby Moynihan,Hannibal Buress",Chris Renaud,"United States,France,Japan",https://www.imdb.com/title/tt5113040/?ref_=plg_rt_1,"Added to Netflix:December 27, 2019"
3360,The Set Up,movie,2019,TV-MA,105 min,Manipulation and personal vendettas collide when a con artist hires a young woman to assist with his scheme to marry a wealthy heiress.,"Dramas,International Movies","Adesua Etomi,Jim Iyke,Dakore Akande,Marie Humbert,Ayoola Ayolola,Tina Mba,Joke Silva,Kehinde Bankole",Niyi Akinmolayan,Nigeria,https://www.imdb.com/title/tt10397734/?ref_=plg_rt_1,"Added to Netflix:April 22, 2020"
3361,The Seven Deadly Sins the Movie: Prisoners of the Sky,movie,2018,TV-14,100 min,"The Seven Deadly Sins aid the Sky People against a powerful group of demons hellbent on resurrecting a demonic beast sealed over 3,000 years ago.","Action & Adventure,Anime Features,International Movies","Yuki Kaji,Sora Amamiya,Misaki Kuno,Aoi Yuki,Tatsuhisa Suzuki,Jun Fukuyama,Yuhei Takagi,Maaya Sakamoto,Tomokazu Sugita,Tsubasa Yonaga,Haruka Tomatsu,Reiko Suzuki,Akio Otsuka,Toshiyuki Morikawa,Yoko Hikasa,Toru Sakurai,Masuo Amada,Takaya Kuroda,Silk Road",Noriyuki Abe,Japan,https://www.imdb.com/title/tt9089294/?ref_=plg_rt_1,"Added to Netflix:December 31, 2018"
3362,The Short Game,movie,2013,PG,100 min,"They are fiercely competitive athletes, determined to become champions on one of the world's toughest golf courses. And they're still in grade school.","Children & Family Movies,Documentaries,Sports Movies","Sky Sudberry,Allan Kournikova,Jed Dy,Zamokuhle Nxasana,Alexa Pano,Amari Avery,Augustin Valery,Kuang Yang,Jack Nicklaus,Gary Player",Josh Greenbaum,United States,https://www.imdb.com/title/tt2466830/?ref_=plg_rt_1,"Added to Netflix:December 12, 2013"
3363,The Show,movie,2017,TV-MA,105 min,A disillusioned reality TV host and an idealistic producer are lured by their network into producing a show in which participants kill themselves.,Dramas,"Josh Duhamel,Giancarlo Esposito,Famke Janssen,Sarah Wayne Callies,Caitlin Fitzgerald,Chris Ellis,Lucia Walters,James Franco",Giancarlo Esposito,United States,https://www.imdb.com/title/tt2088950/?ref_=plg_rt_1,"Added to Netflix:June 1, 2020"
3364,The Show Must Go On: The Queen + Adam Lambert Story,movie,2019,TV-MA,85 min,"With rare footage and candid interviews, this documentary details the serendipitous pairing of legendary rock band Queen and powerhouse Adam Lambert.","Documentaries,Music & Musicals","Adam Lambert,Brian May,Roger Taylor",,,,"Added to Netflix:June 15, 2020"
3365,The Siege of Jadotville,movie,2016,TV-MA,108 min,"Besieged by overwhelming enemy forces, Irish soldiers on a U.N. peacekeeping mission in Africa valiantly defend their outpost in this true story.","Action & Adventure,Dramas,International Movies","Jamie Dornan,Guillaume Canet,Emmanuelle Seigner,Jason O'Mara,Mikael Persbrandt,Mark Strong,Michael McElhatton,Danny Sapani,Sam Keeley,Ronan Raftery,Mike Noble,Charlie Kelly,Conor MacNeill,Fionn O'Shea,Conor Quinlan,Jordan Mifsud",Richie Smyth,"Ireland,South Africa",https://www.imdb.com/title/tt3922798/?ref_=plg_rt_1,"Added to Netflix:October 7, 2016"
3366,The Signal,movie,2014,PG-13,97 min,"During their drive across the country, college pals Nick and Jonah – accompanied by Nick's girlfriend – run into major trouble in the Nevada desert.","Sci-Fi & Fantasy,Thrillers","Brenton Thwaites,Olivia Cooke,Laurence Fishburne,Beau Knapp,Lin Shaye,Robert Longstreet","William Eubank,Will Eubank",United States,https://www.imdb.com/title/tt2910814/?ref_=plg_rt_1,"Added to Netflix:July 13, 2018"
3367,The Silence,movie,2019,TV-14,91 min,"With the world under attack by deadly creatures who hunt by sound, a teen and her family seek refuge outside the city and encounter a mysterious cult.","Horror Movies,Thrillers","Stanley Tucci,Kiernan Shipka,Miranda Otto,Kate Trotter,John Corbett,Kyle Breitkopf,Dempsey Bryk,Billy MacLellan",John R. Leonetti,"Germany,United States",https://www.imdb.com/title/tt7315484/?ref_=plg_rt_1,"Added to Netflix:April 10, 2019"
3368,The Silence,movie,2017,TV-MA,90 min,"On a train in Mumbai, 20-something Chini witnesses a horrific attack that triggers memories of a dark chapter from her youth. Based on a true story.","Dramas,International Movies","Raghuvir Yadav,Nagraj Manjule,Anjali Patil,Kadambari Kadam,Mugdha Chaphekar,Vedashree Mahajan,Mihiresh Joshi",Gajendra Ahire,India,https://www.imdb.com/title/tt4603640/?ref_=plg_rt_1,"Added to Netflix:March 1, 2018"
3369,The Silence,movie,2015,TV-MA,91 min,"After encountering a scene of sexual violence, a woman is forced to confront traumatic experiences of abuse that have shaped her life.","Dramas,International Movies","Raghuvir Yadav,Nagraj Manjule,Anjali Patil,Kadambari Kadam,Mihiresh Joshi,Mugdha Chaphekar,Vedashree Mahajan",Gajendra Ahire,India,https://www.imdb.com/title/tt4603640/?ref_=plg_rt_1,"Added to Netflix:March 1, 2018"
3370,The Silence of the Marsh,movie,2019,TV-MA,93 min,"While researching corruption for his new book, a successful crime novelist shades the line between fiction and reality.","International Movies,Thrillers","Pedro Alonso,Nacho Fresneda,Carmina Barrios,José Ángel Egido,Àlex Monner,Raúl Prieto,Maite Sandoval,Javier Godino,Luis Zahera,Miguel de Lira",Marc Vigil,Spain,https://www.imdb.com/title/tt8743032/?ref_=plg_rt_1,"Added to Netflix:April 22, 2020"
3371,The Sinking Of Van Der Wijck,movie,2013,TV-14,163 min,"When a young man leaves home to fulfill the wishes of his late father, he meets and falls in love with a woman from a very different background.","Dramas,International Movies,Romantic Movies","Herjunot Ali,Pevita Pearce,Reza Rahadian,Randy Nidji,Gesya Shandy,Kevin Andrean,Arzetti Bilbina",Sunil Soraya,Indonesia,https://www.imdb.com/title/tt3418604/?ref_=plg_rt_1,"Added to Netflix:September 28, 2018"
3372,The Skin of the Wolf,movie,2018,TV-MA,110 min,An animal trapper living in an abandoned mountain town in northern Spain seeks to resolve his loneliness by securing a wife.,"Dramas,Independent Movies,International Movies","Mario Casas,Irene Escolar,Ruth Díaz",Samu Fuentes,Spain,https://www.imdb.com/title/tt6347150/?ref_=plg_rt_1,"Added to Netflix:July 6, 2018"
