,title,type,release_year,rating,runtime,description,genres,cast,director,country,imdb_link,date_added
1007,Once Upon A Time In Lingjian Mountain,tvshow,2019,TV-14,1 Season,"As the nine continents face a crisis, a young disciple joins the Spirit Blade sect and comes under the tutelage of a temperamental sage.","International TV Shows,TV Comedies,TV Sci-Fi & Fantasy","Xu Kai,Sandrine Pinna,Ryan Zhu,Gao Yuer,Cristy Guo,He Wenjun,Zheng Yawen,Li Junhao,Roger Kwok,James Wen",,China,https://www.imdb.com/title/tt11261994/?ref_=plg_rt_1,"Added to Netflix:November 23, 2019"
1008,One Day at a Time,tvshow,2019,TV-PG,3 Seasons,"In a reimagining of the TV classic, a newly single Latina mother raises her teen daughter and tween son with the ""help"" of her old-school mom.",TV Comedies,"Justina Machado,Rita Moreno,Todd Grinnell,Isabella Gomez,Marcel Ruiz,Stephen Tobolowsky",,United States,https://www.imdb.com/title/tt5339440/?ref_=plg_rt_1,"New Season Added:February 8, 2019"
1009,One More Time,tvshow,2016,TV-14,1 Season,This fantasy drama follows an indie band singer who repeatedly undergoes unwanted time slips and the girlfriend he must save from an unlucky fate.,"International TV Shows,Korean TV Shows,Romantic TV Shows","L,So-hui Yoon,Gi-du Kim,Chang-hwan Kim,Ji Su,Tae-im Lee,Nam-gil Kang",,South Korea,https://www.imdb.com/title/tt6212990/?ref_=plg_rt_1,"Added to Netflix:March 10, 2017"
1010,ONE PIECE,tvshow,2002,TV-14,4 Seasons,Monkey D. Luffy sails with his crew of Straw Hat Pirates through the Grand Line to find the treasure One Piece and become the new king of the pirates.,Anime Series,"Mayumi Tanaka,Akemi Okamura,Kazuya Nakai,Kappei Yamaguchi,Hiroaki Hirata,Ikue Otani,Yuriko Yamaguchi,Kazuki Yao,Cho",,,,"New Season Added:June 12, 2020"
1011,One Spring Night,tvshow,2019,TV-14,1 Season,"When Lee Jeong-in and Yu Ji-ho meet, something unexpected happens. Or it just may be that spring is in the air – and anything is possible.","International TV Shows,Korean TV Shows,Romantic TV Shows","Han Ji-min,Jung Hae-in,Kim Jun-han,Yim Sung-eon,Song Seung-hwan,Kil Hae-yeon,Lee Moo-saeng,Kim Chang-wan",,South Korea,https://www.imdb.com/title/tt10192576/?ref_=plg_rt_1,"Added to Netflix:July 12, 2019"
1012,One-Punch Man,tvshow,2015,TV-14,1 Season,"The most powerful superhero in the world can kill anyone with one blow. But nothing can challenge him, so he struggles with ennui and depression.","Anime Series,Crime TV Shows,International TV Shows","Makoto Furukawa,Kaito Ishikawa,Yuki Kaji,Aoi Yuki,Kazuhiro Yamaji,Kenjiro Tsuda,Minami Takayama,Tessho Genda",,Japan,https://www.imdb.com/title/tt4508902/?ref_=plg_rt_1,"Added to Netflix:March 20, 2017"
1013,Operation Proposal,tvshow,2012,TV-14,1 Season,"On Yi-seul's wedding day, her friend Baek-ho wishes he could turn back time to tell her he loves her. Soon he gets a chance to change everything.","International TV Shows,Korean TV Shows,Romantic TV Shows","Seung-ho Yoo,Eun-bin Park,Kyung-pyo Go,Ye-won Kim,Hyun Jin Lee,Jin-joo Park",,South Korea,https://www.imdb.com/title/tt3211128/?ref_=plg_rt_1,"Added to Netflix:July 1, 2016"
1014,Orange Is the New Black,tvshow,2019,TV-MA,7 Seasons,"A privileged New Yorker ends up in a women's prison when a past crime catches up with her in this Emmy-winning series from the creator of ""Weeds.""","TV Comedies,TV Dramas","Taylor Schilling,Kate Mulgrew,Laura Prepon,Jason Biggs,Natasha Lyonne,Michael Harney,Uzo Aduba,Danielle Brooks,Samira Wiley,Dascha Polanco,Selenis Leyva,Nick Sandow,Yael Stone,Taryn Manning,Lea DeLaria,Matt McGorry,Emma Myles,Vicky Jeudy,Laverne Cox,Pablo Schreiber,Lori Petty,Ruby Rose,Adrienne C. Moore,Jackie Cruz,Elizabeth Rodriguez",,United States,https://www.imdb.com/title/tt2372162/?ref_=plg_rt_1,"New Season Added:July 26, 2019"
1015,Ordinary Heroes,tvshow,2018,TV-MA,1 Season,"Get an intimate look at four engaged citizens whose courage, sense of civic duty and ultimate sacrifice helped to transform Italian society.","Crime TV Shows,International TV Shows,TV Dramas","Giorgio Tirabassi,Marco Bocci,Cristiana Capotondi,Greta Scarano,Michela Cescon,Diane Fleri,Carlo Calderone,Claudio Gioè,Romina Mondello,Orlando Cinque,Luigi Maria Burruano,Riccardo Scamarcio,Lorenza Indovina,Ivana Lotito,Pierfrancesco Poggi,Marco Leonardi,Anna Ferruzzo,Peppino Mazzotta,Giorgio Marchesi",,,,"Added to Netflix:October 11, 2018"
1016,Oscar's Oasis,tvshow,2011,TV-Y,1 Season,"Plucky lizard Oscar spends his time trying to avoid the hazards of the desert, including marauding chickens and bumbling adversaries.",Kids' TV,,,France,https://www.imdb.com/title/tt2080922/?ref_=plg_rt_1,"Added to Netflix:March 15, 2015"
1017,Osmosis,tvshow,2019,TV-MA,1 Season,"In near-future Paris, two brilliant siblings unveil a high-tech implant designed to pair up soul mates. But the beta test yields unwelcome surprises.","International TV Shows,TV Dramas,TV Mysteries","Agathe Bonitzer,Hugo Becker,Gaël Kamilindi,Manoël Dupont,Stéphane Pitti,Luna Silva,Yuming Hey,Suzanne Rault-Balet,Philypa Phoenix,Lena Lapres,Waly Dia,Aurélia Petit,Lionel Lingelser,Fabien Ducommun",,France,https://www.imdb.com/title/tt7043380/?ref_=plg_rt_1,"Added to Netflix:March 29, 2019"
1018,Our Planet,tvshow,2019,TV-PG,1 Season,Experience our planet's natural beauty and examine how climate change impacts all living creatures in this ambitious documentary of spectacular scope.,"Docuseries,Science & Nature TV",David Attenborough,,"United States,United Kingdom",https://www.imdb.com/title/tt9253866/?ref_=plg_rt_1,"Added to Netflix:April 5, 2019"
1019,Ouran High School Host Club,tvshow,2006,TV-PG,1 Season,"New student Haruhi stumbles on the Ouran High School Host Club, an all-male group that makes money by entertaining the girls of the school.","Anime Series,Romantic TV Shows,Teen TV Shows","Maaya Sakamoto,Monica Rial,Vic Mignogna,Luci Christian,Mamoru Miyano,Kenichi Suzumura,Mike McFarland,Caitlin Glass,Ayaka Saito,Daisuke Kirii",Takuya Igarashi,Japan,https://www.imdb.com/title/tt0816397/?ref_=plg_rt_1,"Added to Netflix:April 1, 2017"
1020,Outback Truckers,tvshow,2015,TV-MA,3 Seasons,"Australia's toughest big-rig drivers brave wildfires, scorching deserts, treacherous downpours and chassis-deep mud to deliver their cargo on time.",Reality TV,,,Australia,https://www.imdb.com/title/tt4345548/?ref_=plg_rt_1,"New Season Added:March 17, 2017"
1021,Outlander,tvshow,2017,TV-MA,3 Seasons,This epic tale adapted from Diana Gabaldon's popular series of fantasy-romance novels focuses on the drama of two time-crossed lovers.,"Romantic TV Shows,TV Action & Adventure,TV Dramas","Caitriona Balfe,Sam Heughan,Tobias Menzies,Gary Lewis,Graham McTavish,Lotte Verbeek,Duncan Lacroix,Laura Donnelly,Bill Paterson,Stephen Walters,Grant O'Rourke,Simon Callow,Richard Rankin,Sophie Skelton,David Berry,Romann Berrux,Ed Speleers,Maria Doyle Kennedy,Tim Downie",,United States,https://www.imdb.com/title/tt3006802/?ref_=plg_rt_1,"New Season Added:December 10, 2019"
1022,P. King Duckling,tvshow,2016,TV-Y,1 Season,"P. King, the daring but hapless duck, teams up with best buddies Wombat and Chumpkins to find wacky and wild ways to solve their problems.","Kids' TV,TV Comedies","Marc Thompson,Benjie Randall,Courtney Shaw",,United States,https://www.imdb.com/title/tt6403002/?ref_=plg_rt_1,"Added to Netflix:November 7, 2017"
