,title,type,release_year,rating,runtime,description,genres,cast,director,country,imdb_link,date_added
519,Society Dog Show,movie,1939,TV-G,9 min,"Rather out of place at a swanky dog show, Pluto flirts with Fifi, a dainty Pekingese. The judge orders Mickey and Pluto to leave, but when a fire breaks out Pluto rescues Fifi and is proclaimed a hero. This program is presented as originally created. It may contain outdated cultural depictions.","Animation,Comedy,Family","Pinto Colvig,Walt Disney",Bill Roberts,United States,https://www.imdb.com/title/tt0031945/?ref_=plg_rt_1,"Added to Disney+:November 12, 2019"
520,Splash,movie,1984,TV-PG,110 min,"Tom Hanks stars as Allen Bauer, a workaholic who's convinced he can't fall in love... until he's mysteriously rescued at sea by the mermaid of his dreams. Soon Allen and Madison (Daryl Hannah) are swept away by hilarious and heartwarming romance. Ron Howard directs a star-studded cast, including Eugene Levy and hilarious John Candy, in a magical tale. Contains tobacco depictions.","Comedy,Fantasy,Romance","Tom Hanks,Daryl Hannah,Eugene Levy,John Candy,Dody Goodman,Shecky Greene",Ron Howard,United States,https://www.imdb.com/title/tt0088161/?ref_=plg_rt_1,"Added to Disney+:February 14, 2020"
521,Star Wars: A New Hope (Episode IV),movie,1977,PG,125 min,"Luke Skywalker begins a journey that will change the galaxy in Star Wars: Episode IV - A New Hope. Nineteen years after the formation of the Empire, Luke is thrust into the struggle of the Rebel Alliance when he meets Obi-Wan Kenobi, who has lived for years in seclusion on the desert planet of Tatooine. Obi-Wan begins Luke’s Jedi training as Luke joins him on a daring mission to rescue the beautiful Rebel leader Princess Leia from the clutches of Darth Vader and the evil Empire. Contains tobacco depictions.","Action-Adventure,Science Fiction","Mark Hamill,Harrison Ford,Carrie Fisher,Peter Cushing,Alec Guinness,Anthony Daniels",George Lucas,United States,https://www.imdb.com/title/tt0076759/?ref_=plg_rt_1,"Added to Disney+:November 12, 2019"
522,Star Wars: Attack of the Clones (Episode II),movie,2002,PG,143 min,"Watch the seeds of Anakin Skywalker's transformation take root in Star Wars Episode II: Attack of the Clones. Ten years after the invasion of Naboo, the galaxy is on the brink of civil war. Under the leadership of a renegade Jedi named Count Dooku, thousands of solar systems threaten to break away from the Galactic Republic. When an assassination attempt is made on Senator Padmé Amidala, the former Queen of Naboo, twenty-year-old Jedi apprentice Anakin Skywalker is assigned to protect her. In the course of his mission, Anakin discovers his love for Padmé as well as his own darker side. Soon, Anakin, Padmé and Obi-Wan Kenobi are drawn into the heart of the Separatist movement and the beginning of the Clone Wars. Contains tobacco depictions.","Action-Adventure,Science Fiction","Ewan McGregor,Natalie Portman,Hayden Christensen,Frank Oz,Ian McDiarmid,Pernilla August",George Lucas,United States,https://www.imdb.com/title/tt0121765/?ref_=plg_rt_1,"Added to Disney+:November 12, 2019"
523,Star Wars: Return of the Jedi (Episode VI),movie,1983,PG,135 min,"Experience the triumph of the Force in Star Wars Episode VI: Return of the Jedi. In the epic conclusion of the saga, the Empire prepares to crush the Rebellion with a more powerful Death Star, while the Rebel fleet mounts a massive attack on the space station. Luke Skywalker confronts Darth Vader in a final climactic duel before the evil Emperor. Contains tobacco depictions.","Action-Adventure,Science Fiction","Mark Hamill,Harrison Ford,Carrie Fisher,Billy Williams,Anthony Daniels,Peter Mayhew",Richard Marquand,United States,https://www.imdb.com/title/tt0086190/?ref_=plg_rt_1,"Added to Disney+:November 12, 2019"
524,Star Wars: Revenge of the Sith (Episode III),movie,2005,PG-13,140 min,"Discover the true power of the dark side in Star Wars Episode III: Revenge of the Sith. Years after the onset of the Clone Wars, the noble Jedi Knights lead a massive clone army into a galaxy-wide battle against the Separatists. When the sinister Sith unveil a thousand-year-old plot to rule the galaxy, the Republic crumbles, and from its ashes rises the evil Galactic Empire. Jedi hero Anakin Skywalker is seduced by the dark side of the Force to become the Emperor’s new apprentice – Darth Vader. The Jedi are decimated, as Obi-Wan Kenobi and Jedi Master Yoda are forced into hiding. Some flashing lights sequences or patterns may affect photosensitive viewers.","Action-Adventure,Science Fiction","Ewan McGregor,Natalie Portman,Hayden Christensen,Ian McDiarmid,Frank Oz,Jimmy Smits",George Lucas,United States,https://www.imdb.com/title/tt0121766/?ref_=plg_rt_1,"Added to Disney+:November 12, 2019"
525,Star Wars: The Clone Wars,movie,2007,PG,99 min,"As the Clone Wars sweep through the galaxy, Anakin Skywalker and his new Padawan learner Ahsoka Tano plunge into a dangerous mission to rescue the kidnapped son of crime lord Jabba the Hutt. The renegade Count Dooku is determined to make sure they fail, and with his deadly assassin Asajj Ventress in pursuit, this is a mission with grave consequences. Contains tobacco depictions.","Action-Adventure,Science Fiction","Matt Lanter,Ashley Eckstein,James Arnold Taylor,Dee Baker,Tom Kane,Nika Futterman",Dave Filoni,United States,https://www.imdb.com/title/tt1185834/?ref_=plg_rt_1,"Added to Disney+:November 12, 2019"
526,Star Wars: The Empire Strikes Back (Episode V),movie,1980,PG,127 min,"Discover the conflict between good and evil in the electrifying Star Wars Episode V: The Empire Strikes Back. After the destruction of the Death Star, Imperial forces continue to pursue the Rebels. After the Rebellion’s defeat on the ice planet Hoth, Luke journeys to the planet Dagobah to train with Jedi Master Yoda, who has lived in hiding since the fall of the Republic. In an attempt to convert Luke to the dark side, Darth Vader lures young Skywalker into a trap in the Cloud City of Bespin.","Action-Adventure,Science Fiction","Mark Hamill,Harrison Ford,Carrie Fisher,Billy Williams,Anthony Daniels,David Prowse",Irvin Kershner,United States,https://www.imdb.com/title/tt0080684/?ref_=plg_rt_1,"Added to Disney+:November 12, 2019"
527,Star Wars: The Force Awakens (Episode VII),movie,2015,PG-13,139 min,"Visionary director J.J. Abrams brings to life the motion picture event of a generation. As Kylo Ren and the sinister First Order rise from the ashes of the Empire, Luke Skywalker is missing when the galaxy needs him most. It's up to Rey, a desert scavenger, and Finn, a defecting stormtrooper, to join forces with Han Solo and Chewbacca in a desperate search for the one hope of restoring peace to the galaxy. Some flashing lights sequences or patterns may affect photosensitive viewers.","Action-Adventure,Science Fiction","Harrison Ford,Mark Hamill,Carrie Fisher,Adam Driver,Daisy Ridley,John Boyega",J.J. Abrams,United States,https://www.imdb.com/title/tt2488496/?ref_=plg_rt_1,"Added to Disney+:November 12, 2019"
528,Star Wars: The Last Jedi (Episode VIII),movie,2017,PG-13,152 min,"In Lucasfilm’s Star Wars: The Last Jedi, the Skywalker saga continues as the heroes of Star Wars: The Force Awakens join the galactic legends in an epic adventure that unlocks new mysteries of the Force and shocking revelations of the past. Some flashing lights sequences or patterns may affect photosensitive viewers.","Action-Adventure,Science Fiction","Mark Hamill,Carrie Fisher,Adam Driver,Daisy Ridley,John Boyega,Oscar Isaac",Rian Johnson,United States,https://www.imdb.com/title/tt2527336/?ref_=plg_rt_1,"Added to Disney+:December 26, 2019"
529,Star Wars: The Phantom Menace (Episode I),movie,1999,PG,136 min,"Experience the heroic action and unforgettable adventures of Star Wars Episode I: The Phantom Menace and see the first fateful steps in the journey of Anakin Skywalker. Stranded on the desert planet Tatooine after rescuing young Queen Amidala from the impending invasion of Naboo, Jedi apprentice Obi-Wan Kenobi and his Jedi Master Qui-Gon Jinn discover nine-year-old Anakin, a young slave unusually strong in the Force. Anakin wins a thrilling Podrace – and with it his freedom as he leaves his home to be trained as a Jedi. The heroes return to Naboo, where Anakin and the Queen face massive invasion forces, while the two Jedi contend with the deadly foe Darth Maul. Only then do they realize the invasion is merely the first step in a sinister scheme by the reemergent forces of darkness known as the Sith.","Action-Adventure,Science Fiction","Liam Neeson,Ewan McGregor,Natalie Portman,Jake Lloyd,Pernilla August,Frank Oz",George Lucas,United States,https://www.imdb.com/title/tt0120915/?ref_=plg_rt_1,"Added to Disney+:November 12, 2019"
