,title,type,release_year,rating,runtime,description,genres,cast,director,country,imdb_link,date_added
116,LEGO Star Wars: Droid Tales,tvshow,2014,TV-Y7,1 Season,"Luke Skywalker and the Rebel Alliance have defeated the Empire by destroying the Second Death Star, but celebrations are cut short when a mysterious hooded figure steals Admiral Ackbar's ship with R2-D2 inside as an unwitting hostage! As C-3PO and the rest of the Rebels give chase across the galaxy, he recounts the many tales of the Rebels and their great adventures that led to the conflict between the Jedi and the Sith, the formation of the Empire, and their search for a new hope.","Action-Adventure,Animation,Comedy","Tom Kane,Anthony Daniels,Trevor Devall",,United States,https://www.imdb.com/title/tt4855868/?ref_=plg_rt_1,"Added to Disney+:November 12, 2019"
117,LEGO Star Wars: Resistance Rises (Shorts),tvshow,2015,TV-Y7-FV,1 Season,"Prior to the First Order's attack on Jakku, follow the never-before-told stories of Poe Dameron, Han Solo, Maz Kanata, Rey, and Finn.","Action-Adventure,Animation,Comedy",,,"United States,Denmark",https://www.imdb.com/title/tt8352934/?ref_=plg_rt_1,"Added to Disney+:November 12, 2019"
118,LEGO Star Wars: The Freemaker Adventures,tvshow,2015,TV-Y7,2 Seasons,"The Freemakers are sibling scavengers operating a salvage and repair shop on a space station at the distant edge of the Empire. When Force-sensitive 12-year old Rowan Freemaker discovers the Kyber Saber, an ancient artifact with a powerful connection to the Jedi, his world is turned upside down. Along with his quick-witted older sister Kordi, ace pilot brother Zander, and a refurbished battle droid named Roger, Rowan is thrown into an epic struggle against the Empire to restore peace to the galaxy.","Action-Adventure,Animation,Comedy","Matt Sloan,Trevor Devall",,United States,https://www.imdb.com/title/tt5459566/?ref_=plg_rt_1,"Added to Disney+:November 12, 2019"
119,LEGO Star Wars: The Freemaker Adventures (Shorts),tvshow,2016,TV-Y7,1 Season,"New to Home One, the Freemakers embark on a series of misadventures to assist and maybe even impress the rebel fleet.","Action-Adventure,Animation,Comedy",,,,,"Added to Disney+:November 12, 2019"
120,Life Below Zero,tvshow,2012,TV-14,14 Seasons,"Deep in Alaska, the primal way lives on. Fight the freeze, brave the wild, hold on to your sanity. And winter is no wonderland when temperatures plummet far below zero. This series follows the drama and hardships experienced by Alaskan households in different corners of this merciless territory as they battle to survive, thrive, and live life on their own terms.","Action-Adventure,Animals & Nature,Docuseries","Chip Hailstone,Agnes Hailstone,Sue Aikens,Andy Bassich",,United States,https://www.imdb.com/title/tt2964642/?ref_=plg_rt_1,"Added to Disney+:November 12, 2019"
121,Lilo & Stitch,tvshow,2003,TV-G,2 Seasons,"If Stitch was Dr. Jumba’s beloved Experiment 626, what happened to the other 625? Jumba’s remaining experiments have landed all over Hawaii in the form of dehydrated pods. The experiments become activated when submerged in water and, much like Stitch, each experiment has its own specific talents for destruction... and comedy. Lilo and Stitch’s mission is to catch Stitch’s ""cousins"" before they fall into the clutches of the evil Dr. Jacques von Hamsterviel and his henchman Gantu, turn the experiments’ natures from bad to good, and find places where each can belong and contribute to the community.","Action-Adventure,Animation,Comedy","Dee Baker,Tia Carrere,Daveigh Chase,Tress MacNeille,Kevin McDonald,Rob Paulsen",,United States,https://www.imdb.com/title/tt0364774/?ref_=plg_rt_1,"Added to Disney+:November 12, 2019"
122,Lizzie McGuire,tvshow,2000,TV-G,2 Seasons,"Lizzie McGuire has great friends, a great family and even great foes. Get inside her head and find out what Lizzie's really thinking courtesy of her funny animated alter ego. Watch Lizzie and her best friends Gordo and Miranda trying to survive junior high school without losing their dignity, while at home, Lizzie's younger brother Matt continues to torment her. Her lovable, yet sometimes clueless, parents are around to help pick up the pieces when her schemes go awry or she just needs someone to talk to.","Comedy,Coming of Age,Kids","Hilary Duff,Lalaine ,Adam Lamberg,Jake Thomas,Hallie Todd,Robert Carradine",,United States,https://www.imdb.com/title/tt0273366/?ref_=plg_rt_1,"Added to Disney+:November 12, 2019"
123,Lost Cities With Albert Lin,tvshow,2019,TV-PG,1 Season,"Lost Cities combines hi-tech archaeology, breathtaking visuals and genuine exploration to make headline-grabbing discoveries, portrayed through our host, Albert Lin. Our ambitious approach applies 3D scanning to some of the most extraordinary sites of antiquity. This series delivers powerful, emotional stories with hi-tech imagery to bring the mysteries of the past vividly to life.","Action-Adventure,Docuseries,Historical","Dr. Albert Len,Albert Len",,United States,https://www.imdb.com/title/tt10366494/?ref_=plg_rt_1,"Added to Disney+:February 21, 2020"
124,Lost Treasures Of Egypt,tvshow,2018,TV-PG,1 Season,"An immersive, action-packed series follows international teams of Egyptologists as they unearth the world’s richest seam of ancient archaeology – Lost Treasures of Egypt. Through excavations and unprecedented access to the teams on the front line of archaeology, we follow these modern-day explorers as they battle searing heat and inhospitable terrain to make the discoveries of a lifetime.","Docuseries,Historical",Rick Robles,,,,"Added to Disney+:May 1, 2020"
125,Lost Treasures of the Maya,tvshow,2018,TV-PG,1 Season,"National Geographic Explorer Albert Lin ventures into the Guatemalan jungle to explore how a new high-tech treasure map is revealing tens of thousands of ancient ruins. Dozens of archaeologists head out on a voyage of discovery, exploring lost ruins for the first time in 1,500 years. What they’re finding is rewriting the history of one of the world’s most mysterious ancient civilizations.","Docuseries,Historical",Albert Lin,,"United States,Guatemala",https://www.imdb.com/title/tt10276578/?ref_=plg_rt_1,"Added to Disney+:November 12, 2019"
